### QueryPerformanceFrequency = 10000000 Hz ###
6269119594563,arrve=,0x00000000005203B1, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119595982,arrve=,0x0000000022D20CF5, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119596955,arrve=,0x0000000006750CDD, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119597837,arrve=,0x0000000000020049, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119598590,arrve=,0x000000000002004D, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119599472,arrve=,0x0000000000020260, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119600408,arrve=,0x0000000000020047, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269119601139,arrve=,0x000000000002004B, =,, =,, =,, =,, os=,(817 262 626910578 0)
6269124801602,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626911093 0)
6269125889706,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626911203 0)
6269131245213,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626911750 0)
6269132595975,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626911875 0)
6269133832395,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626912000 0)
6269134605977,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626912093 0)
6269135840569,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626912218 0)
6269138011257,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626912421 0)
6269138773132,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626912500 0)
6269139844327,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626912609 0)
6269143241005,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626912953 0)
6269144951418,hidev=,0x0000000022D20CF5, byte=,65, ninp=,1, Input1=,0x0029010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(896 338 626913109 0)
