### QueryPerformanceFrequency = 10000000 Hz ###
3068770943,arrve=,0x000000000001003D, =,, =,, =,, =,, os=,(800 265 306640 0)
3068771930,arrve=,0x000000000001003B, =,, =,, =,, =,, os=,(800 265 306640 0)
3068772554,arrve=,0x0000000000010039, =,, =,, =,, =,, os=,(800 265 306640 0)
3068773162,arrve=,0x0000000000010049, =,, =,, =,, =,, os=,(800 265 306640 0)
3068773717,arrve=,0x0000000000010047, =,, =,, =,, =,, os=,(800 265 306640 0)
3068774251,arrve=,0x0000000000010045, =,, =,, =,, =,, os=,(800 265 306640 0)
3071576553,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,0, dy=,1, os=,(800 265 306906 0)
3071578280,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,3, dy=,3, os=,(800 266 306921 0)
3071741298,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,3, dy=,2, os=,(802 268 306921 0)
3071742337,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,4, dy=,3, os=,(804 269 306937 0)
3071893121,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,5, dy=,2, os=,(807 272 306937 0)
3071894391,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,5, dy=,2, os=,(812 273 306953 0)
3072043140,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,5, dy=,2, os=,(816 275 306953 0)
3072054190,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,5, dy=,1, os=,(821 277 306968 0)
3072202955,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,5, dy=,1, os=,(825 278 306968 0)
3072214356,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,4, dy=,1, os=,(830 279 306984 0)
3072353264,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(833 280 306984 0)
3072509751,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,2, dy=,1, os=,(833 280 307000 0)
3072669088,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(834 280 307015 0)
3072965635,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,0, os=,(835 280 307062 0)
3073125869,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,1, os=,(836 280 307078 0)
3073282200,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,0, dy=,1, os=,(836 281 307093 0)
3073433942,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-1, dy=,3, os=,(836 281 307093 0)
3073435190,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-2, dy=,2, os=,(836 283 307109 0)
3073584394,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-4, dy=,1, os=,(835 285 307109 0)
3073585624,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-4, dy=,1, os=,(832 285 307125 0)
3073742451,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-5, dy=,1, os=,(829 286 307125 0)
3073743680,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-4, dy=,1, os=,(825 287 307140 0)
3073893043,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-2, dy=,1, os=,(822 288 307140 0)
3074047904,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-1, dy=,0, os=,(820 289 307156 0)
3074208421,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-1, dy=,-1, os=,(820 289 307187 0)
3074368309,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,0, dy=,-1, os=,(819 289 307187 0)
3074369641,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,-4, os=,(819 288 307203 0)
3074516014,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,-4, os=,(819 286 307203 0)
3074527636,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,-5, os=,(819 283 307218 0)
3074671889,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,0, dy=,-4, os=,(820 278 307218 0)
3074825427,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,0, dy=,-5, os=,(820 275 307234 0)
3074826693,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-1, dy=,-6, os=,(820 271 307234 0)
3074981626,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-1, dy=,-5, os=,(820 266 307250 0)
3074982893,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-2, dy=,-4, os=,(820 261 307250 0)
3075140209,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-2, dy=,-3, os=,(818 258 307265 0)
3075141200,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-1, dy=,-2, os=,(816 256 307265 0)
3075299881,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,-1, dy=,-1, os=,(816 254 307281 0)
3075749388,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,2, dy=,1, os=,(815 254 307328 0)
3075910970,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,1, os=,(815 254 307343 0)
3075912283,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,1, os=,(816 254 307359 0)
3076366965,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,1, os=,(816 255 307390 0)
3076368350,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,1, os=,(817 255 307406 0)
3076532942,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,1, dy=,1, os=,(818 256 307406 0)
3076534181,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,2, dy=,0, os=,(818 256 307421 0)
3076683630,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,5, dy=,1, os=,(819 256 307421 0)
3076695041,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,6, dy=,1, os=,(824 257 307437 0)
3076843398,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,7, dy=,1, os=,(829 258 307437 0)
3076854503,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,9, dy=,1, os=,(836 259 307453 0)
3076993123,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,8, dy=,0, os=,(845 260 307453 0)
3077147323,mouse=,0x0000000000010039, bflg=,0x0000, bdta=,0x0000, dx=,7, dy=,0, os=,(853 260 307468 0)
