### QueryPerformanceFrequency = 10000000 Hz ###
3113613754,arrve=,0x000000000001048F, =,, =,, =,, =,, os=,(827 260 311125 0)
3113614662,arrve=,0x00000000000501C9, =,, =,, =,, =,, os=,(827 260 311125 0)
3113615282,arrve=,0x000000000002004B, =,, =,, =,, =,, os=,(827 260 311125 0)
3113615849,arrve=,0x000000000002004D, =,, =,, =,, =,, os=,(827 260 311125 0)
3113616395,arrve=,0x0000000000020051, =,, =,, =,, =,, os=,(827 260 311125 0)
3113616927,arrve=,0x0000000000020053, =,, =,, =,, =,, os=,(827 260 311125 0)
3113617452,arrve=,0x000000000002004F, =,, =,, =,, =,, os=,(827 260 311125 0)
3113617969,arrve=,0x0000000000020055, =,, =,, =,, =,, os=,(827 260 311125 0)
3128286566,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(855 314 312578 0)
3130147227,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(855 314 312781 0)
3130924138,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(855 314 312843 0)
3136176259,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(880 377 313375 0)
3138960783,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(880 377 313656 0)
3142051326,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(880 377 313953 0)
3144071851,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(880 377 314156 0)
3145768760,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(880 377 314328 0)
3147016263,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(880 377 314453 0)
3148257449,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(880 377 314578 0)
3149024078,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(880 377 314656 0)
3150563137,hidev=,0x0000000000020055, byte=,65, ninp=,1, Input1=,0x0029020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, os=,(880 377 314812 0)
